1809	22
1811	33
1812	24
1813	27
1814	29
1815	29
1816	43
1817	25
1818	33
1819	31
1821	35
1823	51
1827	46
1828	14
1829	14
1831	21
1832	17
1833	13
1835	21
1837	18
1838	25
1839	24
1840	146
1841	526
1842	662
1843	564
1844	339
1845	280
1846	279
1847	241
1848	245
1849	211
1850	215
1851	233
1852	237
1853	230
1854	140
1855	178
1856	249
1857	257
1858	235
1859	223
1860	169
1861	202
1862	191
1863	169
1864	159
1865	134
1866	144
1867	366
1868	513
1869	423
1870	428
1871	489
1872	494
1873	568
1874	457
1875	459
1876	451
1877	395
1878	511
1879	504
1880	819
1881	945
1882	506
1883	1166
1884	1345
1885	1466
1886	1497
1887	1468
1888	1253
1889	1590
1890	1093
1891	976
1892	1449
1893	1694
1894	1214
1895	1578
1896	1858
1897	1945
1898	1918
1899	1584
1900	1588
1901	1769
1902	1777
1903	2002
1904	1952
1905	2168
1906	2121
1907	2110
1908	2751
1909	3011
1910	3069
1911	3385
1912	3364
1913	3587
1914	3583
1915	3378
1916	3186
1917	2943
1918	2909
1919	3141
1920	3350
1921	3381
1922	3524
1923	3813
1924	4212
1925	4445
1926	4746
1927	5351
1928	4974
1929	5062
1930	4957
1931	4880
1932	5066
1933	5072
1934	5040
1935	5142
1936	4876
1937	4850
1938	5301
1939	5098
1940	4572
1941	4383
1942	4311
1943	4239
1944	4446
1945	20233
1946	53817
1947	64794
1948	70461
1949	62509
1950	85575
1951	103707
1952	108062
1953	108592
1954	105786
1955	108319
1956	106998
1957	111478
1958	109455
1959	109942
1960	112119
1961	120043
1962	125569
1963	141320
1964	161885
1965	176649
1966	179886
1967	191714
1968	207849
1969	215090
1970	219151
1971	223103
1972	227569
1973	230866
1974	234773
1975	248526
1976	254859
1977	261655
1978	271653
1979	281214
1980	279866
1981	282478
1982	294654
1983	308559
1984	317454
1985	334485
1986	348594
1987	366718
1988	386046
1989	401633
1990	409591
1991	412058
1992	416631
1993	425765
1994	437243
1995	448970
1996	459178
1997	398193
1998	436622
1999	457014
2000	499456
2001	541927
2002	605168
2003	610822
2004	630372
2005	690954
2006	711531
2007	748103
2008	791754
2009	801944
2010	837503
2011	894743
2012	934803
2013	992701
2014	1061824
2015	1079968
2016	1056922
